general_puntaje,mesa_id,mesa_puntaje,mozo_id,mozo_puntaje,comida_puntaje,descripcion
9,8,10,3,10,3,Seborrheic infantile dermatitis
5,7,8,43,5,3,"Oth injury due to other accident on board sailboat, sequela"
5,6,1,16,6,7,"Chronic mastoiditis, bilateral"
5,5,6,27,9,6,"Supervision of elderly primigravida, unspecified trimester"
6,10,5,3,8,10,Rheu arthritis of shoulder w involv of organs and systems
2,6,3,3,3,7,"Herpes gestationis, second trimester"
4,5,10,43,10,3,"Congenital kyphosis, occipito-atlanto-axial region"
3,11,7,3,8,3,"Nondisp fx of lateral malleolus of l fibula, 7thC"
5,6,7,16,3,8,"Nondisp suprcndl fx w intrcndl extn low end r femr, 7thR"
8,5,7,16,7,3,Burn of third degree of neck
1,9,7,29,8,6,Acute anal fissure
10,8,2,27,5,6,Non-pressure chronic ulcer of right thigh with unsp severity
4,6,1,29,2,7,Hematosalpinx
3,7,6,16,10,8,"Chorioretinal scars after surgery for detachment, right eye"
1,5,6,16,2,4,Occupant of rail trn/veh injured in collisn/hit by roll stok
5,5,5,29,8,8,"Corrosion of third degree of left toe(s) (nail), subs encntr"
10,7,10,29,10,9,Lacerat intrns musc/fasc/tend and unsp finger at wrs/hnd lv
4,9,1,3,2,1,"Open bite of abd wall, left lower q w penet perit cav, sqla"
6,6,4,16,3,5,Central pterygium of unspecified eye
9,8,5,29,6,10,"Dislocation of carpometacarpal joint of unsp hand, sequela"
6,5,3,16,7,9,Congenital malformation of orbit
7,10,6,29,8,8,"Incomplete atypical femoral fracture, unspecified leg, 7thD"
3,9,7,43,8,7,Toxic effects of chromium and its compounds
3,11,10,27,9,5,Injury of other cranial nerves
6,6,3,43,3,7,"Displ transverse fx shaft of unsp femr, 7thQ"
2,9,10,3,10,6,Rapidly progr nephritic syndrome w dense deposit disease
1,11,7,3,6,5,"Inj oth blood vessels at wrs/hnd lv of left arm, sequela"
9,9,4,29,5,9,"Open bite of right ring finger with damage to nail, sequela"
7,9,3,29,4,2,"Nondisp fx of posterior wall of unsp acetabulum, init"
3,10,9,27,4,7,"Pressure ulcer of right heel, unspecified stage"
4,6,10,43,2,1,"Nondisp seg fx shaft of unsp tibia, 7thJ"
6,11,6,27,8,8,Non-prs chr ulcer of right heel and midfoot w unsp severt
9,9,7,3,1,3,"Sltr-haris Type I physl fx upr end humer, r arm, 7thD"
7,9,1,16,9,6,"Lac w/o fb of abd wall, epigst rgn w/o penet perit cav"
10,9,10,27,5,8,Postprocedural hematoma of the spleen fol proc on spleen
1,5,1,29,3,10,"Sltr-haris Type II physl fx low end humer, l arm, 7thP"
1,11,1,43,4,4,Pityriasis lichenoides chronica
1,11,1,43,4,5,"Passenger in hv veh injured in clsn w unsp mv nontraf, init"
9,10,10,29,6,5,Spondylopathy in diseases classified elsewhere
7,11,6,27,7,10,"Breakdown (mechanical) of int fix of bones, init"
5,8,8,29,8,10,"Person injured in oth transport acc w non-mv, nontraf, init"
6,7,9,27,8,3,Respiratory bronchiolitis interstitial lung disease
8,8,4,16,7,7,"Other injury of urethra, initial encounter"
8,11,10,27,6,7,Melanoma in situ of other part of trunk
1,10,6,29,7,8,"Inj superficial vein at shldr/up arm, left arm, sequela"
9,7,7,27,2,5,"Unsp fx shaft of l femr, 7thR"
6,9,8,27,9,1,Subluxation of metacarpophalangeal joint of left ring finger
1,9,9,27,10,7,"Dislocation of interphalangeal joint of unsp great toe, init"
7,5,2,27,10,4,"Blister (nonthermal) of right little finger, subs encntr"
3,7,8,43,10,4,"Unsp fx fourth MC bone, right hand, subs for fx w nonunion"
2,6,9,27,10,4,Dacryoadenitis
9,10,6,43,7,4,"Oth meniscus derangements, oth lateral meniscus, right knee"
9,6,3,43,1,6,"Other physeal fracture of upper end of radius, right arm"
5,8,3,16,1,7,"Accidental malfunction of other larger firearm, sequela"
3,6,2,43,9,8,Diffuse cystic mastopathy of right breast
3,7,6,29,10,7,"Toxic effect of hydrogen sulfide, self-harm, subs"
6,5,6,29,6,7,"Posterior sublux of proximal end of tibia, l knee, sequela"
5,11,2,29,10,6,"Nondisp spiral fx shaft of l tibia, 7thM"
7,6,6,29,7,3,Other stimulant dependence with intoxication delirium
10,10,10,43,6,8,"Sltr-haris Type III physl fx low end unsp femr, 7thD"
3,6,6,29,4,4,"Nondisplaced dome fracture of unsp acetabulum, sequela"
10,9,7,16,2,9,Other long term (current) drug therapy
1,5,5,16,5,4,"Oth fx head/neck of l femr, 7thH"
3,6,2,29,9,10,"Hyphema, right eye"
2,9,2,43,8,5,Burn of first degree of right toe(s) (nail)
9,7,3,43,1,5,"Laceration of ulnar artery at forearm level, unsp arm, init"
4,6,5,3,1,6,Fall into storm drain or manhole
5,8,9,43,2,3,"Nondisp suprcndl fx w intrcndl extn low end l femr, 7thM"
7,8,3,27,2,7,Pleural effusion in other conditions classified elsewhere
4,10,10,43,7,7,"Toxic effect of noxious substnc eaten as food, undet, subs"
1,8,9,43,1,2,"Crushing injury of unspecified thumb, initial encounter"
7,9,4,29,10,6,"Burn 2nd deg mul right fingers (nail), not inc thumb, subs"
4,5,6,3,5,5,Nondisp fx of proximal phalanx of left little finger
